YouTube caption analysis,,
N.D.Freear,2009-06-18T16:24:03+01:00,analysis-yt-cc.php,,
,,
Query,URL,Caption count,'All' count *,Proportion,(Pause 1 ms),(Pause 2),Example title *,Durations s*,,
a,http://youtube.com/results?search_type=videos&closed_captions=1&search_query=a,188000,1000000,0.188,5128,5447,"Jeff Dunham - Achmed the Dead Terrorist",503,250,647,293,634,487,465,235,312,754,,
xy,http://youtube.com/results?search_type=videos&closed_captions=1&search_query=xy,20,23463,0.00085240591569705,4743,4523,"Kyle XY- The Prophet p5",270,231,126,597,381,480,497,201,523,404,,
z,http://youtube.com/results?search_type=videos&closed_captions=1&search_query=z,1350,1000000,0.00135,4479,4974,"TFS Dragon Ball Z: Abridged Parody Episode 9",582,478,574,597,285,247,254,389,532,231,,
dante,http://youtube.com/results?search_type=videos&closed_captions=1&search_query=dante,75,66294,0.0011313241017287,4655,4754,"Dante Bucci - Evolution",179,117,223,468,209,272,351,245,140,143,,
apple,http://youtube.com/results?search_type=videos&closed_captions=1&search_query=apple,1680,316238,0.0053124545437297,4578,4490,"Apple Introduces Revolutionary New Laptop With No Keyboard",166,460,303,258,780,237,826,400,188,554,,
ball,http://youtube.com/results?search_type=videos&closed_captions=1&search_query=ball,6890,987421,0.0069777734117464,5227,5469,"Billy's Balls 2",146,129,164,200,133,178,194,661,502,346,,
car,http://youtube.com/results?search_type=videos&closed_captions=1&search_query=car,5330,1000000,0.00533,5370,5029,"Futuristic Japanese Cars",88,318,500,228,527,256,192,142,66,91,,
dog,http://youtube.com/results?search_type=videos&closed_captions=1&search_query=dog,3390,1000000,0.00339,4358,5018,"Jerry needs no help playing with his ball.",80,64,218,88,137,129,339,73,209,187,,
egg,http://youtube.com/results?search_type=videos&closed_captions=1&search_query=egg,1330,183373,0.0072529761742459,4985,3929,"Cast Iron Breakfast: Cooking Eggs",77,63,190,478,512,155,392,152,245,202,,
flower,http://youtube.com/results?search_type=videos&closed_captions=1&search_query=flower,2840,213685,0.013290591290919,4952,5139,"Mazzy Star - Flowers in December",208,251,316,658,236,232,168,270,86,363,,
grapes,http://youtube.com/results?search_type=videos&closed_captions=1&search_query=grapes,123,27095,0.0045395829488836,3918,3819,"Grape lady falls!",121,86,85,301,131,108,144,372,271,49,,
hat,http://youtube.com/results?search_type=videos&closed_captions=1&search_query=hat,1890,407534,0.0046376498647966,3940,4006,"Whose Line: Scenes From a Hat",218,259,315,659,228,162,254,587,570,451,,
icecream,http://youtube.com/results?search_type=videos&closed_captions=1&search_query=icecream,263,69063,0.0038081172263006,4622,4941,"Ice Cream - Muscles",248,189,322,202,166,386,248,80,57,210,,
jug,http://youtube.com/results?search_type=videos&closed_captions=1&search_query=jug,71,17048,0.0041647114030971,3885,4853,"Emmet Otter's Jug Band Christmas - Barbeque",148,161,192,210,5442,174,310,316,103,152,,
king,http://youtube.com/results?search_type=videos&closed_captions=1&search_query=king,1440,1000000,0.00144,3874,4050,"HANNIBAL FOR KING",214,268,258,279,165,1047,204,221,492,192,,
lemon,http://youtube.com/results?search_type=videos&closed_captions=1&search_query=lemon,343,64011,0.005358454015716,3610,4402,"Fools Garden - Lemon Tree",192,407,197,182,272,313,191,187,285,164,,
milk,http://youtube.com/results?search_type=videos&closed_captions=1&search_query=milk,630,120228,0.0052400439165585,4611,3984,"Milk Trailer 2008",150,375,139,233,234,232,265,150,210,163,,
,,
* NOTE: example title and durations taken from Atom feeds - 'All' count,,
2009-06-18T16:26:55+01:00,,
,,
,,
,,
YouTube caption analysis,,
N.D.Freear,2009-06-18T16:28:38+01:00,analysis-yt-cc.php,,
,,
Query,URL,Caption count,'All' count *,Proportion,(Pause 1 ms),(Pause 2),Example title *,Durations s*,,
a,http://youtube.com/results?search_type=videos&closed_captions=1&search_query=a,194000,1000000,0.194,4556,4413,"Eating a FAT SANDWICH",503,250,647,293,634,487,465,235,312,754,,
xy,http://youtube.com/results?search_type=videos&closed_captions=1&search_query=xy,19,23463,0.0008097856199122,3632,5227,"Kyle XY S01E01 [pilot]  pt. 1",270,231,126,597,381,480,497,201,523,404,,
z,http://youtube.com/results?search_type=videos&closed_captions=1&search_query=z,1320,1000000,0.00132,4853,4259,"TFS Dragon Ball Z: Abridged Parody Episode 2",582,478,574,597,285,247,254,389,532,231,,
dante,http://youtube.com/results?search_type=videos&closed_captions=1&search_query=dante,75,66293,0.0011313411672424,3500,5150,"Dante - Juno Reactor",179,117,223,468,209,272,351,245,140,143,,
nut,http://youtube.com/results?search_type=videos&closed_captions=1&search_query=nut,760,135890,0.0055927588490691,3599,3698,"Squirrel Nut Zippers "Put A Lid On It"",63,219,148,135,165,291,491,92,215,83,,
owl,http://youtube.com/results?search_type=videos&closed_captions=1&search_query=owl,69,34414,0.0020049979659441,3940,4787,"Malay Eagle Owl - Kitty",65,235,563,67,142,106,166,204,66,121,,
piano,http://youtube.com/results?search_type=videos&closed_captions=1&search_query=piano,2900,874939,0.0033145167834558,4050,3995,"LOVE STORY (Taylor Swift) meets VIVA LA VIDA (Coldplay) - Piano Cello - by Jon Schmidt",142,142,170,260,318,484,289,260,312,113,,
queen,http://youtube.com/results?search_type=videos&closed_captions=1&search_query=queen,2080,476244,0.0043675090919781,4864,3577,"Queen | The Show Must Go On | Music Video",349,212,255,260,119,239,154,248,223,229,,
ring,http://youtube.com/results?search_type=videos&closed_captions=1&search_query=ring,1410,388083,0.0036332434041172,5183,4699,"Johnny Cash- Ring of Fire 1968",127,355,120,206,143,172,416,231,94,180,,
star,http://youtube.com/results?search_type=videos&closed_captions=1&search_query=star,2790,1000000,0.00279,4985,4402,"NBA Star LeBron James gets beat by David Kalb- Horse in Venice, Cali.",260,113,350,155,139,544,337,432,98,444,,
telephone,http://youtube.com/results?search_type=videos&closed_captions=1&search_query=telephone,264,48830,0.0054065123899242,5326,4677,"Sheena Easton - Telephone",266,211,349,207,290,253,68,177,345,305,,
umbrella,http://youtube.com/results?search_type=videos&closed_captions=1&search_query=umbrella,131,76433,0.0017139193803724,5106,3786,"Vanilla Sky - Umbrella (Rihanna Cover)",224,255,136,198,241,269,226,314,229,281,,
van,http://youtube.com/results?search_type=videos&closed_captions=1&search_query=van,2410,1000000,0.00241,5018,5370,"Robin van Persie Top 13 Goals",152,141,401,147,144,329,296,308,502,287,,
